Vendor,Device Family,Device Identity,Device Type,Product Page,Firmware Download Page,Access / Download Constraint
WAGO,PFC200 G2,750-8213,PLC / industrial controller,https://www.wago.com/global/plcs-%E2%80%93-controllers/controller-pfc200/p/750-8213,https://downloadcenter.wago.com/wago/software/details/molmiieuzlynr1bum5,
WAGO,Edge Controller,752-8303/8000-002,Edge controller / IIoT gateway,https://www.wago.com/global/edge-devices/edge-controller/p/752-8303_8000-002,https://downloadcenter.wago.com/wago/null/details/lo7acpndy1azyph862,
WAGO,Compact Controller 100,751-9301,Compact PLC / industrial controller,https://www.wago.com/global/plcs-%E2%80%93-controllers/compact-controller-100/p/751-9301,https://downloadcenter.wago.com/wago/software/details/lp6zrngfukpf6z2gpgq,
WAGO,PFC100 G2,750-8110,PLC / industrial controller,https://www.wago.com/us/controllers-bus-couplers-i-o/controller-pfc100/p/750-8110,https://downloadcenter.wago.com/wago/null/details/ly4lav0dl5n5fkozvb,
WAGO,Edge Computer,752-9400,IIoT edge computer,https://www.wago.com/us/controllers-bus-couplers-i-o/edge-computer/p/752-9400,https://downloadcenter.wago.com/to/lwq8xpd8d3np7r1rbxl,
WAGO,Edge Controller 400,752-8400,IIoT edge controller,https://www.wago.com/global/edge-devices/edge-controller-400/p/752-8400,https://downloadcenter.wago.com/ctrlx-os/null/details/m0c5e9ex3ow3j8iobar,
Siemens,SENSORPROM / SITRANS sensor ecosystem,SENSORPROM Programmer Software v1.3.3,Sensor-support software / programmer utility,TBD,https://support.industry.siemens.com/cs/document/109975352/sensorprom-programmer-software-version-1-3-3?dti=0&lc=en-GB,
Siemens,Connection Module IOT,9SA2054-0AA02-0AB0,IIoT sensor and communication module,https://www.siemens.com/en-us/products/digital-drivetrain/connection-module-iot/,https://support.industry.siemens.com/cs/document/109977953/connection-module-iot-firmware-version-2-3-6?dti=0&lc=en-AF,
Siemens,SIMATIC IOT2050,6ES7647-0BA00-0YA2,Industrial IoT gateway / edge gateway,https://sieportal.siemens.com/en-ww/products-services/detail/6ES7647-0BA00-0YA2,https://support.industry.siemens.com/cs/document/109741799/downloads-for-simatic-iot20x0,
Siemens,SCALANCE LPE9413,6GK5998-3GS01-2AC2,Industrial Edge device / local processing engine,https://sieportal.siemens.com/en-id/products-services/detail/6GK5998-3GS01-2AC2,https://support.industry.siemens.com/cs/document/109998313/firmware-and-notes-for-scalance-lpe9413-ad-lpe9433-v2.2-%E2%80%93-industrial-edge-?dti=0&lc=en-us,
Eurotech,ReliaGATE 10-14,ReliaGATE 10-14,Multi-service IoT edge gateway,https://www.eurotech.com/products/reliagate-10-14/,https://www.eurotech.com/download/en/pb.aspx?&pg=Intelligent%20Sensors,ACCESS REQUIRED / registered email
Eurotech,BoltGATE 20-31,BoltGATE 20-31,Modular IoT edge gateway for rolling stock,https://www.eurotech.com/download/en/pb.aspx?pg=BoltGATE+20-31,https://www.eurotech.com/download/en/pb.aspx?pg=ESF,ACCESS REQUIRED / ESF registered email; product page currently exposes manual only; ESF software links require registration
