openssl | 3.2.4 | CVE-2026-2673 | CVSS: N/A | 2026-03-13 | OpenSSL TLS 1.3 server may choose unexpected key agreement group
openssl | 3.2.4 | CVE-2026-31790 | CVSS: N/A | 2026-04-07 | Incorrect Failure Handling in RSA KEM RSASVE Encapsulation
openssl | 3.2.4 | CVE-2026-31789 | CVSS: N/A | 2026-04-07 | Heap Buffer Overflow in Hexadecimal Conversion
zlib | 1.3.1 | CVE-2026-27171 | CVSS: 2.9 | 2026-02-18 | 
openssl | 3.2.4 | CVE-2026-22796 | CVSS: N/A | 2026-01-27 | ASN1_TYPE Type Confusion in the PKCS7_digest_from_attributes() function
openssl | 3.2.4 | CVE-2026-22795 | CVSS: N/A | 2026-01-27 | Missing ASN1_TYPE validation in PKCS#12 parsing
zlib | 1.3.1 | CVE-2026-22184 | CVSS: 4.6 | 2026-01-07 | zlib <= 1.3.1.2 untgz Global Buffer Overflow in TGZfname()
openssl | 3.2.4 | CVE-2026-28390 | CVSS: N/A | 2026-04-07 | Possible NULL Dereference When Processing CMS KeyTransportRecipientInfo
openssl | 3.2.4 | CVE-2026-28386 | CVSS: N/A | 2026-04-07 | Out-of-bounds Read in AES-CFB-128 on X86-64 with AVX-512 Support
openssl | 3.2.4 | CVE-2026-28387 | CVSS: N/A | 2026-04-07 | Potential Use-after-free in DANE Client Code
openssl | 3.2.4 | CVE-2026-28388 | CVSS: N/A | 2026-04-07 | NULL Pointer Dereference When Processing a Delta CRL
openssl | 3.2.4 | CVE-2026-28389 | CVSS: N/A | 2026-04-07 | Possible NULL Dereference When Processing CMS KeyAgreeRecipientInfo
zlib | 1.3.1 | CVE-2023-6992 | CVSS: 4 | 2024-01-04 | Memory corruption issues is Cloudflare zlib implementation
openssl | 3.2.4 | CVE-2024-6119 | CVSS: N/A | 2024-09-03 | Possible denial of service in X.509 name checks
openssl | 3.2.4 | CVE-2024-9143 | CVSS: N/A | 2024-10-16 | Low-level invalid GF(2^m) parameters lead to OOB memory access
openssl | 3.2.4 | CVE-2024-13176 | CVSS: N/A | 2025-01-20 | Timing side-channel in ECDSA signature computation
openssl | 3.2.4 | CVE-2024-12797 | CVSS: N/A | 2025-02-11 | RFC7250 handshakes with unauthenticated servers don't abort as expected
